сұрақ,жауап
" Рейчел мен Сара сұлулық және модельдік байқауға қатысқысы келеді. Екеуі де жаңа аяқ киім мен көйлек сатып алғысы келеді. Сара 50 доллар тұратын аяқ киім мен 200 доллар тұратын көйлек сатып алады. Рейчел Сараның аяқ киім мен көйлекке жұмсаған ақшасынан екі есе көп ақша жұмсағысы келсе, қанша бюджет құруы керек?",Рейчелдің аяқ киіміне жұмсайтын шығыны $50 * 2 = $<<50*2=100>>100. Рейчелдің көйлегіне жұмсайтын шығыны $200 * 2 = $<<200*2=400>>400. Рейчелдің жалпы бюджеті $100 + $400 = $<<100+400=500>>500. #### 500
" 12 маймылдан тұратын отбасы 10 үйме банан жинады. 6 үймеде 9 қол болды, әр қолында 14 банан болды, ал қалған үймелерде 12 қол болды, әр қолында 9 банан болды. Егер олар банандарды тең бөлсе, әр маймыл қанша банан алар еді?", Алғашқы 6 шоқта 6 x 9 x 14 = <<6*9*14=756>>756 банан болды. 10 - 6 = <<10-6=4>>4 шоқ қалды. Қалған 4 шоқта 4 x 12 x 9 = <<4*12*9=432>>432 банан болды. Барлығы 756 + 432 = <<756+432=1188>>1188 банан болды. Әрбір маймыл 1188/12 = <<1188/12=99>>99 банан алады. #### 99
"Жер сілкінісі төрт ғимараттың қирауына себеп болды. Сарапшылар әрбір келесі жер сілкінісінде алдыңғысына қарағанда екі есе көп құлайтын ғимараттар болады деп болжады, себебі әрқайсысы іргетастың тұрақсыздығын төмендетеді. Тағы үш жер сілкінісінен кейін, бірінші жер сілкінісінен болғандарды қоса алғанда, қанша ғимарат қирады?"," Екінші жер сілкінісі 2 * 4 = <<2*4=8>>8 ғимараттың қирауына себеп болды. Үшінші жер сілкінісі 2 * 8 = <<2*8=16>>16 ғимараттың қирауына себеп болды. Төртінші жер сілкінісі 16 * 2 = <<16*2=32>>32 ғимараттың қирауына себеп болды. Бірінші жер сілкінісін қоса алғанда, жер сілкіністері 4 + 8 + 16 + 32 = <<4+8+16+32=60>>60 ғимараттың қирауына себеп болды. #### 60"
" Джеймс Чикагодағы университеттің бірінші курс студенті. Оның семестрге 1000 доллар бюджеті бар. Ол ақшасының 30%-ын тамаққа, 15%-ын тұруға, 25%-ын ойын-сауыққа, ал қалғанын курстық жұмыс материалдарына жұмсайды. Ол курстық жұмыс материалдарына қанша ақша жұмсайды?",Тұру 15% құрайды * $1000=$<<15*.01*1000=150>>150 Тамақ 30% құрайды * $1000=$<<30*.01*1000=300>>300 Ойын-сауық 25% құрайды * $1000=$<<25*.01*1000=250>>250 Курстық жұмыс материалдары осылайша $1000-($150+$300+$250) = $300 #### 300
" Бүгін Аваның туған күні. Ата-анасы 13 долларға бірмүйізді пиньята сатып алып, оны оның сүйікті тәттілерімен толтырды. Олар 4 пакет Reese's атты аяқ киімін 9 доллардан, 3 пакет Snickers атты аяқ киімін 5 доллардан және 5 пакет Skittles атты аяқ киімін 7 доллардан сатып алды. Бірмүйізді пиньята мен тәттілердің жалпы құны қанша болды?"," Reese's кәмпиттерінің төрт пакеті $9 x 4 = $<<9*4=36>>36 тұрады. Snickers кәмпиттерінің үш пакеті $5 x 3 = $<<5*3=15>>15 тұрады. Skittles кәмпиттерінің бес пакеті $7 x 5 = $<<7*5=35>>35 тұрады. Сондықтан, бірмүйізді пиньята мен тәттілердің бағасы $13 + $36 + $15 + $35 = $<<13+36+15+35=99>>99. #### 99"
"Кэролин күніне 20 минут фортепианода, ал үш есе ұзақ скрипкада ойнайды. Егер ол аптасына алты күн жаттығатын болса, төрт аптасы бар бір айда қанша минут жаттығады?", Алдымен Кэролиннің скрипкада ойнауға жұмсайтын жалпы уақытын оның фортепианода ойнауға жұмсайтын уақытын үш есеге көбейту арқылы табыңыз: күніне 20 минут * 3 = <<20*3=60>>60 минут/күн Содан кейін оның күн сайын жаттығуға жұмсайтын жалпы уақытын табыңыз: күніне 60 минут + күніне 20 минут = <<60+20=80>>80 минут/күн Содан кейін оның апта сайын жаттығуға жұмсайтын жалпы уақытын табыңыз: күніне 80 минут * аптасына 6 күн = <<80*6=480>>480 минут/апта Содан кейін оның ай сайын жаттығуға жұмсайтын жалпы уақытын табыңыз: аптасына 480 минут * айына 4 апта = <<480*4=1920>>айына 1920 минут #### 1920
" 90 мегабайт көлеміндегі файл алғашқы 60 мегабайтында секундына 5 мегабайт жылдамдықпен, содан кейін секундына 10 мегабайт жылдамдықпен жүктеледі. Толығымен жүктеу қанша уақытты алады (секундпен)?",Алғашқы 60 мегабайт 60/5=<<60/5=12>>12 секунд уақыт алады. 90-60=<<90-60=30>>30 мегабайт қалды. Қалған 30 мегабайт 30/10=<<30/10=3>>3 секунд уақыт алады. Ал 12+3=<<12+3=15>>15 секунд. #### 15
" Сэм Карлос жаттаған саннан пи санының алты цифрын артық жаттады. Мина Карлос жаттаған саннан пи санының алты есе көп цифрын жаттады. Егер Мина пи санының 24 цифрын жаттаса, Сэм қанша цифрды жаттады?", Карлос 24/6=<<24/6=4>>Пи санының 4 цифрын жаттап алған. Сэм Пи санының 4+6=10 цифрын жаттап алған. #### 10
" Алан мен оның достары теңіз жағалауына мектеп сапарында бақалшақ жинады. Алан Бенге қарағанда төрт есе көп бақалшақ жинады. Бен кешігіп бастады және Лоридің жинағанының үштен бір бөлігін ғана жинады. Егер Лори 36 бақалшақ жинаса, Алан қанша бақалшақ жинады?", Бен жинады 36/3=<<36/3=12>>12 снаряд Алан жинады 12*4=<<12*4=48>>48 снаряд #### 48
"Джералд бейсболға қажетті заттарға айына 100 доллар жұмсайды. Оның маусымы 4 айға созылады. Ол бейсбол ойнамаған айларын тырмалап, күреп және көгалдарды шабу арқылы ақша жинағысы келеді. Әрқайсысы үшін 10 доллар алады. Керек-жарақтарын жинау үшін айына орта есеппен қанша жұмыс істеуі керек?"," Ол 400 доллар жинауы керек, себебі 4 x 100 = <<4*100=400>>400 Оның бұл ақшаны табу үшін 8 айы бар, себебі 12 - 4 = <<12-4=8>>8 Ол айына 50 доллар табуы керек, себебі 400 / 8 = <<400/8=50>>50 Ол айына 5 тапсырма орындауы керек, себебі 50 / 10 = <<50/10=5>>5 #### 5"
" Энн перделер жасау үшін мата кесіп жатыр. Ол қонақ бөлме үшін 4 футқа 6 фут тіктөртбұрыш, ал жатын бөлме үшін 2 футқа 4 фут тіктөртбұрыш кесіп алды. Егер матаның болты 16 футқа 12 фут болса, шаршы футпен қанша мата қалады?","Алдымен матаның бастапқы болты қанша шаршы фут болғанын есептеңіз: 16 фут * 12 фут = <<16*12=192>>192 шаршы фут Содан кейін Энн қонақ бөлме перделері үшін қанша мата алғанын есептеңіз: 4 фут * 6 фут = <<4*6=24>>24 шаршы фут Содан кейін Энн жуынатын бөлме перделері үшін қанша мата алғанын есептеңіз: 2 фут * 4 фут = <<2*4=8>>8 шаршы фут Соңында, екі перде жиынтығының шаршы футын жалпы шаршы футтан алып тастаңыз: 192 - 24 - 8 = <<192-24-8=160>>160 шаршы фут #### 160"
" Арнельде әр қорапта бірдей қарындаштар саны бар он қорап қарындаш болды. Ол он қарындаш қалдырып, қалған қарындаштарды бес досымен тең бөлісті. Егер оның достарының әрқайсысында сегіз қарындаштан болса, әр қорапта қанша қарындаш бар?"," Арнель достарымен 5 x 8 = <<5*8=40>>40 қарындаш бөлісті. Сонымен, оның барлығы 10 + 40 = <<10+40=50>>50 қарындашы болды. Сондықтан әр қораптың ішінде 50/10 = <<50/10=5>>5 қарындаш болды. #### 5"
"Калеб 10 қорап балмұздақ және 4 қорап мұздатылған йогурт сатып алды. Балмұздақтың әр қорабы 4 доллар, ал мұздатылған йогурттың әр қорабы 1 доллар тұрды. Калеб балмұздаққа мұздатылған йогуртқа қарағанда қанша көп ақша жұмсады?", Балмұздақтың құны 10 × $4 = $<<10*4=40>>40. Мұздатылған йогурттың құны 4 × $1 = $<<4*1=4>>4. Калеб мұздатылған йогуртқа қарағанда балмұздаққа $40 − $4 = $36 көбірек жұмсады. #### 36
" Лия көршілес жерлерде жұмыс істеп, 28 доллар тапты. Ол ақшасының жетіден бір бөлігін сүт коктейліне жұмсап, қалғанының жартысын жинақ шотына салды. Қалған ақшасын әмиянына қалдырды. Иті әмиянын тауып алып, ішіндегі барлық ақшаны қырып тастады, тек 1 доллар ғана қалды. Лия қанша доллар жоғалтты?","Лия сүт коктейліне 28 / 7 = $<<28/7=4>>4 жұмсады. Оның 28 - 4 = $<<28-4=24>>24 қалды. Ол жартысын жинақ шотына, жартысын әмиянына салды, сондықтан әмиянында 24 / 2 = $<<24/2=12>>12 қалды. Иті әмиянындағы барлық ақшаны ұсақтап тастады, бірақ 1 доллар қалды, сондықтан Лия 12 - 1 = $<<12-1=11>>11 жоғалтты. #### 11"
 Бақшада 25 раушан гүлі бар. 40 қызғалдақ бар. 35 түймедақ бар. Гүлдердің қанша пайызы раушан гүлі емес?," Барлығы 25+40+35=<<25+40+35=100>>100 гүл бар. 40+35=<<40+35=75>>75 раушан гүлі емес. Сондықтан, (75/100)*100=<<(75/100)*100=75>>Гүлдердің 75%-ы раушан гүлі емес. #### 75"
" Леоның тапсырмасы үш бөлікке бөлінді. Ол тапсырмасының бірінші бөлігін 25 минутта аяқтады. Екінші бөлігін аяқтау үшін оған екі есе көп уақыт кетті. Егер ол тапсырмасын 2 сағатта аяқтай алса, Лео тапсырманың үшінші бөлігін неше минутта аяқтады?","Леоға тапсырманың екінші бөлігін аяқтау үшін 25 x 2 = <<25*2=50>>50 минут кетті. Лео тапсырманың бірінші және екінші бөліктерін 25 + 50 = <<25+50=75>>75 минутта аяқтады. Ол бүкіл тапсырманы 60 x 2 = <<60*2=120>>120 минутта аяқтады. Сондықтан, Леоға тапсырманың үшінші бөлігін аяқтау үшін 120 - 75 = <<120-75=45>>45 минут кетті. #### 45"
" Лиза печенье жасау үшін 10 килограмм сары май сатып алды. Ол оның жартысын шоколадты печеньеге, бестен бір бөлігін жержаңғақ майы қосылған печеньеге, ал қалған сары майдың үштен бір бөлігін қант қосылған печеньеге жұмсады. Осы үш түрлі печеньені жасағаннан кейін қанша килограмм сары май қалады?","Лиза шоколадты печенье үшін 10/2 = <<10/2=5>>5 килограмм сары май пайдаланды. Содан кейін ол жержаңғақ майы бар печенье үшін 10/5 = <<10/5=2>>2 килограмм сары май пайдаланды. Ол шоколадты және жержаңғақ майы бар печенье үшін 5 + 2 = <<5+2=7>>7 килограмм сары май пайдаланды. Сонымен, тек 10 -7 = <<10-7=3>>3 килограмм сары май қалды. Содан кейін Лиза қантты печенье үшін 3/3 = <<3/3=1>>1 килограмм сары май пайдаланды. Сондықтан тек 3-1 = <<3-1=2>>2 килограмм сары май қалды. #### 2"
" Статистика пәнінің оқушысы орта мектеп оқушыларының орташа күнделікті жәрдемақысын білгісі келеді. Оның сауалнамасына сәйкес, оқушылардың 2/3 бөлігі күніне орта есеппен 6 доллар жәрдемақы алады, ал қалғандары күніне орта есеппен 4 доллар алады. Егер ол 60 оқушыдан сауалнама алса, сол 60 оқушының бір күнде алатын жалпы ақшасы қандай?",60 студент x 2/3 = <<60*2/3=40>>Күніне 6 доллар жәрдемақы алатын 40 студент бар. Ал 60 студент болса - 40 студент = <<60-40=20>>Күніне 4 доллар жәрдемақы алатын 20 студент. Күніне 6 доллар алатын 40 студенттің жәрдемақысының қосындысы 40 студент x күніне 6 доллар = $<<40*6=240>>240 құрайды. Күніне 4 доллар алатын 20 студенттің жәрдемақысының қосындысы 20 студент x күніне 4 доллар = $<<20*4=80>>80 құрайды. Сол 60 студенттің жалпы күнделікті ақша сомасы $240 + $80 = $<<240+80=320>>320 құрайды. #### 320
" Джоан әр сағат сайын сауда орталығындағы субұрқақтан тиындарды жинауы керек. Бірінші сағатта ол 15 тиын жинады. Келесі екі сағатта ол субұрқақтан 35 тиын жинады. Төртінші сағатта ол субұрқақтан 50 тиын жинады, бірақ газдалған сусын сатып алу үшін оның 15-ін әріптесіне берді. Төртінші сағаттан кейін оның қанша тиыны қалды?","Бірінші сағатта 15 монета жиналды Екінші сағатта 35 монета жиналды Үшінші сағатта 35 монета жиналды Төртінші сағатта 50 монета жиналды Әріптесіне бірнеше монета бермес бұрын, 15+35+35+50=<<15+35+35+50=135>>135 монета болды Әріптесіне 15 монета берілгеннен кейінгі монеталар саны 135-15=<<135-15=120>>120 #### 120"
" Джерридің екі қызы әртүрлі командаларда софтбол ойнайды. Олардың әрқайсысы осы маусымда 8 ойын өткізеді. Әр команда ойнаған әрбір ойын үшін 4 сағат жаттығады. Егер әр ойын 2 сағатқа созылса, Джерри алаңда қыздарының ойынын және жаттығуын бақылауға қанша сағат жұмсайды?",Джерри 8 ойын x әр ойынға 2 сағат = <<8*2=16>>16 сағат бір қызының ойындарын тамашалауға жұмсайды. Ол 16 x 2 = <<16*2=32>>32 сағат екі қызының да ойындарын тамашалауға жұмсайды. Ол 8 ойын x 4 сағат жаттығуға жұмсайды = <<8*4=32>>32 сағат бір қызының жаттығуын тамашалауға жұмсайды. Ол 32 x 2 = <<32*2=64>>64 сағат екі қызының жаттығуын тамашалауға жұмсайды. Ол ойындарды тамашалауға барлығы 32 сағат + жаттығуды тамашалауға 64 сағат = <<32+64=96>>96 сағат жұмсайды. #### 96
" Аю қысқы ұйқыға дайындалып жатыр және 400 кг салмақ қосуы керек. Жаздың соңында аю жидектер мен ұсақ орман жануарларымен қоректенеді. Күзде ол жаңғақ пен лососьті жейді. Жазда ол жидектерден қажетті салмағының бестен бір бөлігін, ал күзде жаңғақтан екі есе көп салмақ қосты. Албырт оған қажет болған қалған салмағының жартысын құрады. Ұсақ жануарларды жеп, ол қанша фунт салмақ қосты?","Аю жидектерден 1 / 5 * 1000 = <<1/5*1000=200>>200 фунт салмақ қосты. Ол емен жаңғағынан 2 * 200 = <<2*200=400>>400 фунт салмақ қосты. Оған әлі де 1000 - 200 - 400 = <<1000-200-400=400>>400 фунт салмақ қосу керек болды. Осылайша, ол албырттан 400 / 2 = <<400/2=200>>200 фунт салмақ қосты. Демек, аю ұсақ жануарлардан 400 - 200 = <<400-200=200>>200 фунт салмақ қосты. #### 200"
" 24 банкада 290 литр май бар. Егер банкалардың 10-ына 8 литрден сыйса, қалған банкалардың әрқайсысына қанша май сыяды?"," 10 банка әрқайсысына 8 литрден сыйып тұр, барлығы 10 * 8 = <<10*8=80>>80 литр. 290 - 80 = <<290-80=210>>210 литр қалды. 24 - 10 =<<24-10=14>>14 банка қалды. Қалған банкалардың әрқайсысына 210 / 14 = <<210/14=15>>15 литрден сыйып тұр. #### 15"
"Шонаның жаттығу мақсаты - 30 рет қайталап жаттығу. Дүйсенбі күні Шона тек 12 рет қайталап жаттығу жасай алды, сондықтан ол қалғанын сейсенбіде өтеуді шешті. Дегенмен, ол сейсенбіде тек 19 рет қайталап жаттығу жасай алды. Шона сәрсенбі күні ең төменгі мақсатына жету және жасамағандарының орнын толтыру үшін қанша рет қайталап жаттығу жасауы керек?", Дүйсенбіде Шоунаға 30 - 12 = <<30-12=18>>18 рет қайталау жетіспеді. Сейсенбіде Шоунаға 30 - 19 = <<30-19=11>>11 рет қайталау жетіспеді. Сәрсенбіде Шоунаға 30 + 18 + 11 = <<30+18+11=59>>59 рет қайталау керек болды #### 59
" Джеймс негізгі жұмысында жұмыс істеп жүргенде сағатына 20 доллар табады. Екінші жұмысында 20%-ға аз табады. Ол негізгі жұмысында 30 сағат, ал екінші жұмысында екі есе көп жұмыс істейді. Ол аптасына қанша табады?",Джеймс екінші жұмысында 20*.2=$<<20*.2=4>>4 теңгеге аз табады. Сондықтан ол сағатына 20-4=$<<20-4=16>>16 теңге табады. Бірінші жұмысында ол 20*30=$<<20*30=600>>600 теңге табады. Ол екінші жұмысында 30/2=<<30/2=15>>15 сағат жұмыс істейді. Сондықтан ол 15*16=$<<15*16=240>>240 теңге табады. Сондықтан ол аптасына 600+240=$<<600+240=840>>840 теңге табады. #### 840
" Ли бір шөп шабады және 33 доллар алады. Өткен аптада ол 16 шөп шабады, ал үш клиент оған 10 доллардан шайпұл берді. Ли өткен аптада шөп шабудан қанша доллар тапты?", 33 * 16 = $<<33*16=528>>528 3 * 10 = $<<3*10=30>>30 528 + 30 = $<<528+30=558>>558 Ли өткен аптада көгалдарды шабу арқылы $558 табыс тапты. #### 558
" Тара 1000 доллар тұратын ноутбук сатып алуды жоспарлап отыр. Компьютерлік дүкен айына 65 доллардан бөліп төлеуді 20% бастапқы жарна төленген жағдайда қабылдайды. Егер Тара бастапқы жарна үшін қосымша 20 доллар төлегісі келсе, 4 ай бойы төлегеннен кейін оның балансы қанша болады?","Тара $1000 x 20/100 = $<<1000*20/100=200>>200 алғашқы жарна төлеуі керек. Тара алғашқы жарна үшін тағы 20 доллар төлегісі келгендіктен, оның жалпы алғашқы жарнасы $200 + $20 = $<<200+20=220>>220 болады. Сонымен, оның бір жыл ішінде төленуге тиісті қалған сомасы $1000 - $220 = $<<1000-220=780>>780. Тара ай сайын жылына $780 / 12 ай/жыл = $<<780/12=65>>65/ай төлем жасауы керек. Оның 4 айға төлемдерінің жалпы құны айына $65 x 4 ай = $<<65*4=260>>260 құрайды. Демек, Тараның 4 айдан кейінгі қалдығы $780 - $260 = $<<780-260=520>>520 құрайды. #### 520"
 Джесси мен Миа бір апталық жарысқа қатысады. Оларға 30 миль жүгіруге бір апта уақыт берілген. Алғашқы үш күнде Джесси орта есеппен (2/3) миль жүгіреді. Төртінші күні ол 10 миль жүгіреді. Миа алғашқы 4 күнде күніне орта есеппен 3 миль жүгіреді. Соңғы үш күнде олардың жүгіруге тиіс орташа жылдамдығы қандай?,"Джесси алғашқы үш күнде 2 миль жүгірді, себебі 3 x (2/3) = <<3*(2/3)=2>>2 Джессидің жүгіруге 18 миль қалды, себебі 30 - 10 - 2 = <<30-10-2=18>>18 Джесси күніне орта есеппен 6 миль жүгіруі керек, себебі 18 / 3 = <<18/3=6>>6 Миа алғашқы төрт күнде 12 миль жүгірді, себебі 4 x 3 = <<4*3=12>>12 Оның жүгіруге 18 миль қалды, себебі 30 - 12 = <<30-12=18>>18 Ол күніне алты миль жүгіруі керек, себебі 18 / 3 = <<18/3=6>>6 Екеуінің де жүгіруі керек жалпы сома <<12=12>>Күніне 12 миль Олар күніне орта есеппен 6 миль жүгіруі керек, себебі 12 / 2 = <<12/2=6>>6 #### 6"
" Эльзаның қолындағы тиындардың Амалияның тиындарына қатынасы 10:45. Егер олардың жалпы тиын саны 440 болса және Амалия бар тиынының 3/4 бөлігін ойыншықтарға жұмсаса, оның қолында қанша тиын қалады?","Екеуінде де бар тиындардың жалпы қатынасы 10+45 = <<10+45=55>>55 Амалиядағы тиындар санын көрсететін қатынастың үлесі 45/55, және екеуінде де бар тиындардың жалпы саны 440 болғандықтан, Амалияда 45/55*440 = <<45/55*440=360>>360 тиын бар. Амалия барының 3/4 бөлігін жұмсағанда, ол 3/4*360 = <<3/4*360=270>>270 тиынмен қоштасады. Оның әлі де 360 тиыны бар - 270 тиын = <<360-270=90>>90 тиын #### 90"
 Карли әрқайсысында 5 қолы бар 7 теңіз жұлдызын және 14 қолы бар бір теңіз жұлдызын жинады. Ол жинаған жануарлардың барлығы қанша қолы бар?," Алдымен теңіз жұлдыздарының қолдарының жалпы санын табыңыз: 7 теңіз жұлдызы * 5 қол/теңіз жұлдызы = <<7*5=35>>35 қол Содан кейін теңіз жұлдыздарының қолдарының санын қосып, қолдарының жалпы санын табыңыз: 35 қол + 14 қол = <<35+14=49>>49 қол #### 49"
" Тимнің Мартаға қарағанда 30 алмасы кем, ал Гарридің алмасы Тимнің алмасынан екі есе аз. Егер Мартаның 68 алмасы болса, Гарридің қанша алмасы бар?",Тимнің 68-30 = <<68-30=38>>38 алмасы бар. Гарридің 38/2 = <<38/2=19>>19 алмасы бар. #### 19
 Хиллари бүрге базарында қолдан жасалған бұйымдарды әр бұйымына 12 доллардан сатады. Бүгін Хиллари 3 бұйым сатады және оған риза болған тұтынушыдан қосымша 7 доллар беріледі. Кейінірек Хиллари бүгінгі пайдасынан 18 долларды банк шотына салады. Депозит салғаннан кейін Хиллариде қанша доллар қалады?," Хиллари 3 қолөнер бұйымын әрқайсысын 12 доллардан сатты, барлығы 3 қолөнер * $12/қолөнер = $<<3*12=36>>36 Ол тұтынушыдан қосымша 7 доллар алады, жалпы соманы $36 + $7 = $<<36+7=43>>43 дейін арттырады. Содан кейін ол банкке 18 доллар салады, оның қолында $43 - $18 = $25 қалады #### 25"
"Нэнси балықтарына аквариумды толтырып жатыр. Ол аквариумды жартылай толтырып, есікті ашуға барады. Ол кеткен кезде, мысығы аквариумды құлатып, ішіндегі судың жартысын төгіп алады. Содан кейін Нэнси қайтып келіп, аквариумдағы су мөлшерін үш есеге арттырады. Егер аквариумның ұзындығы 4 фут, ені 6 фут және биіктігі 3 фут болса, аквариумда қанша текше фут су бар?"," Алдымен аквариумның көлемін оның ұзындығын, енін және биіктігін көбейту арқылы есептеңіз: 4 фут * 6 фут * 3 фут = <<4*6*3=72>>72 текше фут Содан кейін мысық оны құлатқаннан кейін аквариумның қандай бөлігі толғанын анықтаңыз: 1/2 * 1/2 = 1/4 Содан кейін Нэнси оны қайта толтырғаннан кейін аквариумның қандай бөлігі толғанын анықтаңыз: 3 * 1/4 = 3/4 Енді аквариумның толған бөлігін аквариум көлеміне көбейтіп, онда қанша су бар екенін біліңіз: 72 текше фут * 3/4 = <<72*3/4=54>>54 текше фут #### 54"
"Ойыннан кейін бейсбол командасына тамақ дайындау Роджердің кезегі келді, және ол жол қоспасын әкелуді шешті. Жол қоспасы 6 жеке пакеттен тұрады. Роджердің бейсбол командасында 13 мүше, сонымен қатар 3 жаттықтырушы және 2 көмекші бар. Ол қанша қап жол қоспасын сатып алуы керек?"," Роджерге 13 + 3 + 2 = <<13+3+2=18>>18 қапшық соқпақ қоспасы қажет болады. Егер соқпақ қоспасы қапшықтарының санын әр қапшықтағы мөлшерге бөлсек, 18 / 6 = <<18/6=3>>3 қапшық соқпақ қоспасы шығады. #### 3"
 Төрт адам барлығы 103 килограмм салмақ тастады. Бірінші адам 27 килограмм салмақ тастады. Екінші адам бірінші адамға қарағанда 7 килограммға аз салмақ тастады. Қалған екі адам да сол мөлшерде салмақ тастады. Соңғы екі адамның әрқайсысы қанша килограмм салмақ тастады?, Екінші адам = 27 - 7 = <<27-7=20>>20 кг 103 - 27 - 20 = <<103-27-20=56>>56 кг 56/2 = <<56/2=28>>28 кг Соңғы екі адам әрқайсысы 28 килограмм салмақ тастады. #### 28
"Дейл мен Эндрю кафеде таңғы ас ішті. Тост тілімі 1 фунт стерлинг, ал жұмыртқа 3 фунт стерлингтен тұрды. Дейлде 2 тост тілімі және 2 жұмыртқа болды. Эндрюде 1 тост тілімі және 2 жұмыртқа болды. Олардың таңғы асы қанша болды?", Дейлдің тостының құны 2 × $1 = $<<2*1=2>>2. Эндрюдің тостының құны 1 × $1 = $<<1*1=1>>1. Дейлдің жұмыртқасының құны 2 × $3 = $<<2*3=6>>6. Эндрюдің жұмыртқасының құны 2 × $3 = $<<2*3=6>>6. Олардың таңғы асы $2 + $1 + $6 + $6 = $<<2+1+6+6=15>>15 тұрады. #### 15
" Бақшада 237 картоп, қиярға қарағанда 60 картоп аз және бұрыш екі есе көп өсірілді. Бақшада қанша көкөніс өсірілді?", Бақшада 237 картоп өсірілді - 60 = <<237-60=177>>177 қияр. Бақшада 177 қияр * 2 бұрыш/қияр = <<177*2=354>>354 бұрыш өсірілді. Бақшада 237 картоп + 177 қияр + 354 бұрыш = <<237+177+354=768>>768 көкөніс өсірілді. #### 768
Боксшы жекпе-жектен кейін 4 ай өткен соң 97 кг салмақ тастады. Ол жекпе-жек күніне дейін айына 3 кг салмақ тастауға мүмкіндік беретін диета ұстайды. Жекпе-жек күні оның салмағы қанша болады?," 4 айда ол 3 x 4 = <<3*4=12>>12 килограмм салмақ тастайды. Демек, оның салмағы 97 – 12 = <<97-12=85>>85 килограмм болады. #### 85"
" Мэннидің туған күніне 24 сыныптасы және мұғалімі Кит мырзамен бөлісетін 3 печенье бәліші болды. Егер әрбір печенье бәліші 10 тілімге кесіліп, ал Мэнниде, сыныптастарында және Кит мырзада 1 данадан болса, қанша тілім қалады?", Барлығы 3 x 10 = <<3*10=30>>30 печенье тілімі бар. Печенье тілімдерін жеген 24 + 1 + 1 = <<24+1+1=26>>26 адам бар. 30 - 26 = <<30-26=4>>4 печенье тілімі қалды. #### 4
 Джеймс 40 жыл мұғалімдікке жұмсады. Оның серіктесі 10 жылға аз уақыт мұғалімдікпен айналысты. Олардың жалпы тәжірибесі қанша уақытты құрайды?,"Оның серіктесі 40-10=<<40-10=30>>30 жыл бойы сабақ берді. Сонымен, олардың бірге 40+30=<<40+30=70>>70 жылдық тәжірибесі бар #### 70"
" Дженнифер дүкеннен 40 банка сүт сатып алды, содан кейін сыныптасы Маркпен кездесті, ол да сүт сатып алып жүрді. Дженнифер Марк сатып алған әрбір 5 банка үшін тағы 6 банка сүт сатып алды. Егер Марк 50 банка сатып алса, Дженнифер дүкеннен үйге қанша банка сүт әкелді?"," Егер Марк 50 банка сүт сатып алса, Дженнифер Марк сатып алған әрбір 5 банка сүтке 6 банка қосқан саны 50/5 = <<50/5=10>>10 есе. Ол сатып алған қосымша банкалардың жалпы саны 10*6 = <<10*6=60>>60 банка. Егер оның бастапқыда 40 банкасы болса, ол үйіне 40+60 = <<40+60=100>>100 банка сүтпен оралды. #### 100"
"Сэм мен Джефф үзілісте секіру жарысына қатысты. Жарыс төрт раундқа бөлінді. Сэм бірінші раундта Джеффке қарағанда 1 секіруді артық орындады. Джефф екінші раундта Сэмге қарағанда 3 рет аз секірді. Джефф үшінші раундта Сэмге қарағанда 4 рет көп секірді. Джефф шаршап, соңғы раундта Сэмге қарағанда секіру санының жартысын ғана орындады. Егер Сэм әр раундта 16 рет секірсе, Джефф әр раундта орташа секіру саны қандай?", Бірінші раундта Джефф 16 - 1 = <<16-1=15>>15 жасады. Екінші раундта Джефф 16 - 3 = <<16-3=13>>13 жасады. Үшінші раундта Джефф 16 + 4 = <<16+4=20>>20 жасады. Төртінші раундта Джефф 16 / 2 = <<16/2=8>>8 жасады. Джефф 15 + 13 + 20 + 8 = <<15+13+20+8=56>>барлығы 56 секіруді жасады. Джефф орта есеппен әр раундта 56 / 4 = <<56/4=14>>14 секіруді жасады. #### 14
"Ирен аптасына 40 сағат жұмыс істесе, 500 доллар табады және артық жұмыс істеген әрбір сағат үшін қосымша 20 доллар алады. Егер ол өткен аптада 50 сағат жұмыс істесе, оның жалпы табысын есептеңіз."," Егер Ирен өткен аптада 50 сағат жұмыс істесе, артық жұмыс ретінде есептелген сағаттардың жалпы саны 50-40 = <<50-40=10>>10 сағат. Ол артық жұмыстың әрбір сағаты үшін 20 доллар бергендіктен, ол артық жұмыс уақытында 10*$20 = $<<10*20=200>>200 табыс тапты. Оның жалпы табысы, артық жұмыс уақытын қоса алғанда, $500+$200= $<<500+200=700>>700 #### 700"
